FullName,ExecutiveTitle,Company,City,State,PostalCode,ISICDivision,IndustryDescription,Sales,Assets,Employees
Yao Wenhong,Director,Sichuan Haowu Electromechanical Co Ltd,Neijiang,Sichuan,641000,29,"Manufacture of motor vehicles, trailers and semi-trailers",65784.1,148248.1,1292
Yao Xian Guo,Independent Non-Executive Director,AMBER ENERGY LTD,Hangzhou,Zhejiang,311108,35,"Electricity, gas, steam and air conditioning supply",145164.3,257603.5,282
Yao Xianguo,Independent Director,"Zhejiang Yatai Pharmaceutical Co.,Ltd.",Shaoxing,Zhejiang,312030,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,60965.7,136845.6,799
Yao Xianguo,Independent Director,"Wolong Electric Group Co., Ltd",Shaoxing,Zhejiang,312300,27,Manufacture of electrical equipment,1118764,1579459,11269
Yao Xianguo,Independent Director,Zhejiang Zheneng Electric Power Co Ltd,Hangzhou,Zhejiang,310007,35,"Electricity, gas, steam and air conditioning supply",7170891,16805350,10598
Yao Xianping,Chairman,"Hangzhou Hanghua-Harima Paper Chemicals Co., Ltd.",Hangzhou,Zhejiang,311231,20,Manufacture of chemicals and chemical products,23069.7,26540.9,300
Yao Xiaocong,Board Member,"Great Wall Technology Co., Ltd.",Shenzhen,Guangdong,518057,26,"Manufacture of computer, electronic and optical products",15151320,8041308,59000
Yao Xiaocong,Independent Director,"Shenzhen MTC Co.,Ltd.",Shenzhen,Guangdong,518026,26,"Manufacture of computer, electronic and optical products",1153671,1112215,4908
Yao Xiaocong,Independent Director,Shenzhen Topband Co Ltd,Shenzhen,Guangdong,518108,26,"Manufacture of computer, electronic and optical products",181053,158627.1,3193
Yao Xiaodong,Director,"Suzhou Yisha Precision Parts Co., Ltd.",Suzhou,Jiangsu,215021,26,"Manufacture of computer, electronic and optical products",1210,1279,155
Yao Xiaolin,Chairman,"Jilin Dacheng Steel Machining Co., Ltd.",Changchun,Jilin,130012,29,"Manufacture of motor vehicles, trailers and semi-trailers",46451.2,8926.7,400
Yao Xiaomin,Director,Jiangsu Xinmin Textile Sci & Tech Co Ltd,Wujiang,Jiangsu,215228,20,Manufacture of chemicals and chemical products,255376.4,148879,1004
Yao Xiaoqing,Chairman of the Board,Tianjin Chase Sun Pharmaceutical Co Ltd,Tianjin,Tianjin,301700,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,464797.5,490823.4,918
Yao Xilian,Chairman,"Tianjin Jinghai Dongxin Industry & Trade Co., Ltd.",Tianjin,Tianjin,301609,46,"Wholesale trade, except of motor vehicles and motorcycles",22086.9,4576.4,9
Yao Xingtian,Chairman of the Board,Jiangsu Lianhuan Pharmaceutical Co. Ltd,Yangzhou,Jiangsu,225009,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,108537.9,106273.1,1283
Yao Xinhua,Independent Director,Jianxin Mining Co Ltd,Chongqing,Chongqing,401147,7,Mining of metal ores,160191.8,264914.4,833
